Sub Status,city,state,american express/premium      ,american express/regular      ,discover/premium              ,discover/regular              ,other card/premium            ,other card/regular            ,store or retail/regular       ,visa/regular                  ,mastercard/regular            ,person 1: technology adoption ,person 1: health well being   ,act/int: wine lovers          ,act/int: do-it-yourselfers    ,act/int:home improve spenders ,act/int: hunting enthusiasts  ,buyer: laptop owners          ,buyer: security sys owners    ,buyer: coupon users           ,buyer: warehouse club members ,lifestyle: life ins policy    ,lifestyle: medical policy     ,lifestyle: medicare policy    ,act/int:video gamer           ,act/int:eats family restaurant,act/int:eats fast food        ,act/int: cat owners           ,act/int: dog owners           ,style: high freq domestic vac ,style: high freq foreign vac  
Active,LINCOLN,ND,U,U,U,U,U,U,U,U,U,4,2,53,32,56,19,50,35,45,40,49,55,69,51,51,42,28,31,35,76
Expired/Cancelled,ALPENA,MI,U,Y,U,U,U,Y,U,Y,Y,3,1,53,7,27,12,44,34,32,32,15,20,99,31,60,28,20,5,32,25
Expired/Cancelled,HARLINGEN,TX,U,U,U,U,U,Y,U,U,U,1,5,53,31,45,36,40,4,26,13,59,52,99,7,21,16,72,4,45,34
Active,MILWAUKIE,OR,U,U,U,U,U,Y,Y,U,Y,2,4,53,34,7,38,41,37,22,47,41,57,99,21,26,55,55,67,38,26
Active,AVON PARK,FL,U,Y,U,U,Y,Y,U,Y,Y,3,2,53,79,29,30,89,70,79,41,34,34,54,99,56,99,31,87,59,30
Expired/Cancelled,CENTERVILLE,GA,U,U,U,U,U,U,U,U,U,2,3,53,47,76,68,51,36,10,46,57,70,99,72,11,18,60,65,65,88
Active,ROCHESTER,NY,U,U,U,U,Y,Y,U,Y,Y,3,3,53,23,14,16,51,24,22,14,9,6,40,87,39,86,40,14,27,23
Expired/Cancelled,AUSTIN,TX,U,U,U,U,U,U,U,U,U,1,2,53,81,36,21,83,3,46,41,21,34,65,65,33,84,72,88,21,29
Expired/Cancelled,PORT JEFFERSON,NY,U,U,U,U,U,U,U,U,U,3,5,53,45,40,39,42,64,28,60,60,65,99,30,64,44,46,65,40,31
Expired/Cancelled,LINDENHURST,NY,U,U,U,U,U,Y,U,U,U,2,4,53,46,52,44,12,73,48,68,65,63,99,11,82,29,47,82,31,42
Expired/Cancelled,NEW LENOX,IL,,,,,,,,,,3,3,53,17,20,18,33,30,47,44,22,25,99,38,84,54,52,46,31,24
Active,LAGUNA WOODS,CA,U,U,U,U,U,U,U,U,U,1,3,53,40,54,44,49,67,48,62,54,56,54,64,87,81,44,87,24,31
Active,SOUTH BEND,IN,U,Y,U,Y,U,Y,U,Y,Y,3,3,53,26,15,16,54,24,22,14,9,5,34,74,36,79,27,17,28,23
Active,BALTIMORE,MD,U,Y,U,U,U,U,U,Y,Y,0,0,53,41,66,28,54,7,47,30,11,23,99,19,2,13,77,46,68,62
Expired/Cancelled,NORTHFIELD,MN,U,Y,U,U,U,Y,U,Y,Y,0,0,53,30,35,16,59,60,28,27,32,35,74,72,51,73,43,12,65,29
Expired/Cancelled,TOMS RIVER,NJ,U,Y,U,Y,U,Y,U,Y,Y,0,0,53,64,24,31,85,30,32,22,10,2,34,96,54,98,61,93,22,14
Expired/Cancelled,TENNESSEE COLONY,TX,U,U,U,Y,U,Y,U,U,U,0,0,53,38,22,44,82,61,86,69,28,32,1,96,81,87,9,29,64,67
Expired/Cancelled,SHAKER HEIGHTS,OH,U,Y,U,Y,U,Y,Y,Y,Y,3,4,52,82,65,33,94,16,11,30,8,23,53,96,42,91,85,94,50,44
Active,MIDDLETOWN,CT,U,U,U,U,U,U,U,U,U,2,4,52,2,31,16,68,56,22,39,22,27,22,74,13,77,23,62,51,45
Active,DERBY,CT,U,U,U,Y,U,Y,U,Y,Y,3,4,52,10,10,19,56,39,47,23,10,25,99,81,79,75,27,45,48,34
Expired/Cancelled,ELIZABETHTOWN,PA,U,U,U,Y,U,Y,U,Y,Y,3,3,52,23,15,16,47,24,22,11,10,4,99,93,33,86,36,43,25,23
Active,WEST BARNSTABLE,MA,U,U,U,U,U,Y,Y,Y,Y,2,4,52,23,14,16,47,25,22,14,10,5,99,88,39,86,13,42,25,23
Expired/Cancelled,DENHAM SPRINGS,LA,U,U,U,U,U,Y,U,U,U,3,4,52,34,31,60,35,4,19,26,20,32,99,75,29,33,46,51,11,26
Active,WEBSTER,NY,U,U,U,Y,U,Y,U,Y,Y,3,1,52,10,10,19,59,39,47,26,10,27,26,87,81,85,31,48,49,34
Active,JOHNSTOWN,PA,U,U,U,U,U,Y,U,Y,Y,3,2,52,31,43,27,59,58,49,32,33,34,26,87,84,85,45,62,63,44
Active,ERIE,PA,U,Y,U,U,Y,Y,U,Y,Y,3,3,52,10,10,19,56,39,47,23,10,25,99,81,79,75,27,45,48,34
Active,PORT SAINT LUCIE,FL,U,U,U,U,Y,Y,Y,U,U,3,3,52,23,15,16,47,24,22,11,10,4,99,93,33,86,36,43,25,23
Active,WILLOW GROVE,PA,U,Y,U,Y,U,Y,U,Y,U,3,3,52,10,10,33,57,35,32,10,15,21,99,83,59,75,38,65,35,20
Expired/Cancelled,YORK,PA,U,U,U,Y,U,Y,U,Y,Y,3,1,52,6,10,12,43,32,32,32,11,20,99,31,58,38,20,5,29,24
Expired/Cancelled,TANEYTOWN,MD,U,U,U,U,U,U,U,U,U,4,2,52,28,26,8,76,64,87,75,30,33,99,60,80,68,14,25,69,68
Expired/Cancelled,RICHMOND,VA,U,Y,U,U,U,Y,U,Y,Y,4,2,52,80,63,34,94,28,8,36,21,39,53,96,13,91,85,95,71,62
Expired/Cancelled,WINSTON SALEM,NC,U,U,U,Y,Y,Y,Y,Y,Y,3,3,52,23,14,16,51,24,22,14,9,6,26,95,38,92,31,47,25,23
Active,FAYETTEVILLE,NC,U,Y,U,U,U,Y,U,Y,Y,4,2,52,76,25,17,89,30,35,26,18,14,28,96,41,98,63,86,32,26
Expired/Cancelled,COPIAGUE,NY,U,Y,U,Y,U,Y,U,Y,Y,2,4,52,55,34,39,15,68,48,64,61,62,99,28,76,87,22,65,40,55
Expired/Cancelled,SARASOTA,FL,U,Y,U,Y,U,Y,U,Y,Y,4,3,52,26,15,16,54,24,22,14,9,5,26,88,36,88,27,51,26,23
Active,CLEARWATER,FL,U,U,U,Y,U,Y,U,U,Y,3,1,52,23,14,16,47,25,22,14,10,5,99,88,39,86,13,42,25,23
Active,TAMPA,FL,U,U,U,U,U,U,U,U,U,2,4,52,48,80,49,8,38,29,42,61,32,99,20,82,36,79,87,8,16
Expired/Cancelled,CAPE CORAL,FL,U,U,U,U,U,Y,U,Y,U,3,3,52,32,22,23,47,30,22,24,16,21,42,74,44,74,31,53,25,35
Expired/Cancelled,TULSA,OK,U,U,U,U,U,Y,U,Y,Y,3,1,52,32,24,24,43,30,22,26,20,21,99,63,57,52,32,47,26,37
Active,LANSING,MI,U,U,U,Y,U,Y,U,Y,U,2,3,52,10,10,19,56,39,47,27,10,26,99,79,84,74,27,42,50,35
Active,GREENDALE,WI,U,Y,U,U,U,Y,U,Y,Y,3,3,52,23,15,16,47,24,22,11,10,4,99,93,33,86,36,43,25,23
Expired/Cancelled,MCHENRY,IL,U,U,U,U,U,Y,U,Y,U,3,3,52,10,10,19,59,39,47,26,10,27,26,87,81,85,31,48,49,34
Active,SHERWOOD,AR,Y,Y,U,U,U,Y,U,U,Y,3,3,52,10,10,19,56,39,47,23,10,25,99,81,79,75,27,45,48,34
Active,FRANKLIN,TN,U,U,U,Y,U,Y,U,Y,Y,2,3,52,12,20,13,31,30,29,18,12,10,99,67,26,60,39,38,28,23
Expired/Cancelled,JENKS,OK,U,Y,U,U,U,Y,U,Y,U,3,3,52,10,10,19,56,39,47,23,10,25,99,81,79,75,27,45,48,34
Expired/Cancelled,DEER PARK,TX,U,U,U,U,U,Y,U,Y,U,4,4,52,26,15,16,54,24,22,14,9,5,22,88,36,88,27,51,26,23
Expired/Cancelled,LOCKHART,TX,U,U,U,U,U,Y,U,Y,Y,3,3,52,31,39,33,57,23,15,15,41,45,70,66,23,67,70,5,29,34
Expired/Cancelled,COLORADO SPRINGS,CO,U,Y,U,Y,U,Y,U,U,Y,3,3,52,23,14,16,51,24,22,14,9,6,26,95,38,92,31,47,25,23
Active,CATHEDRAL CITY,CA,U,U,U,U,U,Y,U,Y,Y,2,4,52,36,12,25,11,31,2,23,12,22,99,39,35,47,45,53,24,35
Active,FRESNO,CA,U,U,U,U,Y,Y,U,Y,Y,3,4,52,26,15,16,54,24,22,14,9,5,22,88,36,88,27,51,26,23
Expired/Cancelled,KENWOOD,CA,U,U,U,U,U,Y,U,Y,Y,4,2,52,30,18,22,30,16,47,21,11,17,55,50,78,79,72,63,13,13
Active,CUMMING,GA,U,Y,U,U,U,Y,U,Y,Y,2,4,52,31,2,32,53,34,30,22,41,36,99,59,33,72,54,24,19,10
Expired/Cancelled,SANTA CLARA,CA,U,Y,U,Y,U,Y,U,Y,U,4,2,52,80,55,29,83,31,20,25,31,23,87,82,34,97,81,90,10,3
Active,MORTON,IL,U,U,U,U,Y,Y,U,Y,U,3,3,52,1,31,15,46,53,43,36,25,31,99,66,24,59,26,45,49,45
Active,GUTHRIE,OK,U,Y,U,U,U,Y,U,U,U,3,4,52,12,17,14,18,29,25,24,12,10,99,75,57,85,21,42,22,28
Expired/Cancelled,SANTA CLARA,CA,U,Y,U,U,U,Y,U,Y,Y,2,3,52,49,77,53,33,43,41,46,52,27,99,46,87,44,77,72,13,18
Active,WAIPAHU,HI,U,U,U,U,U,Y,U,Y,Y,1,4,52,38,63,33,56,63,47,24,59,50,99,65,75,51,80,17,32,16
Active,MILLBRAE,CA,U,Y,U,U,U,Y,U,U,U,4,2,52,73,13,27,81,22,28,27,22,12,87,93,74,99,80,88,8,1
Expired/Cancelled,ST PETERSBURG,FL,U,Y,U,U,U,Y,U,Y,U,4,3,52,32,58,32,54,12,6,30,24,47,99,61,4,27,70,72,63,56
Expired/Cancelled,SAN DIEGO,CA,U,U,U,U,U,U,U,Y,U,3,2,52,30,7,30,50,20,37,6,10,2,22,90,67,90,50,59,6,2
Active,DENVER,CO,U,Y,U,U,U,Y,U,Y,U,4,4,52,10,10,19,56,39,47,23,10,25,99,81,79,75,27,45,48,34
Expired/Cancelled,ROMEOVILLE,IL,U,U,U,U,U,U,U,Y,U,2,5,52,36,67,22,32,22,19,42,47,58,99,7,36,17,73,62,24,52
Expired/Cancelled,JACKSONVILLE,NC,U,Y,U,U,U,Y,U,Y,Y,3,3,52,1,32,18,57,57,45,40,20,26,99,74,60,74,8,56,49,45
Expired/Cancelled,AURORA,CO,U,U,U,U,U,Y,U,Y,U,3,2,52,22,38,39,53,60,28,59,51,52,99,19,69,52,27,67,32,25
Active,ST DAVIDS,PA,U,U,U,U,Y,U,U,Y,Y,3,3,52,2,20,13,33,46,32,38,21,27,99,48,68,69,30,31,47,33
Active,TOLEDO,OH,U,Y,U,Y,Y,Y,U,Y,Y,4,3,52,23,15,16,47,24,22,11,10,4,99,93,33,86,36,43,25,23
Active,GREENVILLE,SC,U,Y,U,U,U,Y,Y,Y,Y,3,3,52,25,11,25,34,21,59,16,5,9,99,84,98,73,27,40,20,31
Active,COLORADO SPRINGS,CO,U,U,U,U,U,Y,U,Y,U,4,2,52,39,21,26,59,35,3,20,12,15,26,72,38,67,22,60,27,28
Expired/Cancelled,LAKESIDE,CA,U,U,U,U,U,Y,U,Y,Y,4,4,52,10,10,19,59,39,47,26,10,27,26,87,81,85,31,48,49,34
Expired/Cancelled,CORSICANA,TX,U,Y,U,U,U,Y,Y,Y,Y,3,3,52,32,20,25,52,33,22,24,13,14,99,49,57,63,25,37,26,26
Expired/Cancelled,PLANT CITY,FL,U,U,U,U,U,Y,U,Y,U,3,2,52,26,12,23,57,42,65,29,20,31,26,86,22,83,28,52,68,63
Active,HALES CORNERS,WI,U,U,U,U,U,U,U,Y,Y,4,2,52,69,20,16,84,24,22,20,9,5,28,99,38,99,52,85,28,23
Expired/Cancelled,FRANKLINVILLE,NJ,U,U,U,U,U,Y,U,Y,U,2,4,52,5,33,11,49,66,70,66,46,40,99,57,55,79,28,42,78,71
Active,DALLAS,TX,U,U,U,Y,Y,Y,U,Y,Y,3,4,52,13,20,14,25,30,42,26,13,11,34,71,31,78,54,41,28,31
Active,LOVELAND,CO,U,Y,U,U,U,U,U,Y,Y,4,2,52,30,21,21,68,32,26,11,2,11,26,77,23,78,36,59,32,31
Expired/Cancelled,NORTH OLMSTED,OH,U,U,U,U,U,U,U,U,U,4,2,52,12,10,19,66,39,47,27,10,26,22,75,81,79,27,53,50,34
Active,WASECA,MN,U,U,U,U,U,Y,U,U,U,3,1,52,10,10,19,59,39,47,26,10,27,26,87,81,85,31,48,49,34
Active,LOS OSOS,CA,U,Y,U,U,U,Y,U,Y,Y,3,4,52,10,10,20,45,38,47,27,14,32,99,65,84,60,40,42,50,35
Active,VIENNA,OH,U,U,U,U,U,Y,U,Y,U,3,4,52,23,14,16,47,25,22,14,10,5,99,88,39,86,13,42,25,23
Expired/Cancelled,DALLAS,TX,U,Y,U,U,U,Y,U,U,Y,4,2,52,95,99,94,38,86,42,60,69,65,77,84,76,62,97,98,26,29
Expired/Cancelled,WOODBURY,MN,U,U,U,U,U,Y,U,Y,Y,3,2,52,57,68,51,54,43,41,52,66,58,99,41,73,57,81,26,43,25
Expired/Cancelled,COLUMBIA,SC,U,U,U,U,U,U,U,U,U,3,3,52,66,74,33,89,35,5,42,30,38,53,95,14,90,84,95,70,54
Expired/Cancelled,HOUSTON,TX,U,U,U,U,U,Y,U,Y,Y,4,4,52,47,61,47,21,39,79,50,61,26,99,40,91,56,73,95,5,11
Active,CARNEGIE,PA,U,U,U,U,U,U,U,Y,U,4,2,52,34,21,19,70,57,84,60,21,29,43,77,86,91,30,61,45,32
Expired/Cancelled,NATCHITOCHES,LA,U,Y,U,U,U,Y,U,U,U,3,3,52,52,65,43,32,44,46,45,30,53,80,52,78,70,91,89,21,23
Expired/Cancelled,MELBOURNE,FL,U,Y,U,U,U,Y,U,Y,Y,3,4,52,7,10,21,48,39,47,27,12,20,99,62,85,59,26,10,51,36
Expired/Cancelled,FLORENCE,KY,U,U,U,U,U,Y,U,U,Y,3,1,52,27,5,22,50,7,16,33,17,45,99,20,44,31,59,18,25,28
Active,KISSIMMEE,FL,U,U,U,U,U,U,U,Y,U,4,2,52,47,53,43,59,71,48,63,51,56,53,90,82,89,56,87,38,26
Expired/Cancelled,VIRGINIA BEACH,VA,U,U,U,U,U,Y,U,Y,Y,3,3,52,15,12,24,56,49,22,25,16,27,99,75,57,90,1,53,49,39
Active,DUBUQUE,IA,U,Y,U,U,Y,Y,U,Y,U,3,3,52,23,14,16,51,24,22,14,9,6,26,95,38,92,31,47,25,23
Active,WESTFIELD,MA,U,U,U,U,Y,U,U,Y,U,3,4,52,10,10,19,59,39,47,26,10,27,26,87,81,85,31,48,49,34
Active,MT JULIET,TN,U,U,U,U,U,U,U,U,U,2,1,52,40,30,22,34,24,39,44,38,59,99,18,38,29,79,57,32,52
Active,MAUMEE,OH,U,Y,U,U,Y,Y,U,U,Y,3,3,52,10,10,18,50,39,49,34,15,32,33,74,77,78,30,48,49,51
Expired/Cancelled,TROY,OH,U,U,U,U,U,U,U,U,U,4,2,52,7,10,21,48,39,47,27,12,20,99,62,85,59,26,10,51,36
Active,PINEHURST,NC,U,U,U,U,U,Y,U,Y,Y,4,2,52,72,22,22,86,57,47,65,45,39,33,93,92,99,71,86,46,30
Expired/Cancelled,SAN ANDREAS,CA,U,Y,U,U,U,Y,U,Y,U,4,2,52,37,64,30,74,71,63,68,53,57,99,88,62,95,24,64,44,50
Expired/Cancelled,JANESVILLE,WI,U,Y,U,U,Y,Y,U,Y,U,3,3,52,10,10,19,56,39,47,27,10,26,99,79,84,74,27,42,50,35
Active,BEAR,DE,U,U,U,Y,U,Y,U,Y,U,4,4,52,27,15,17,31,22,27,19,13,10,42,58,30,68,59,17,28,30
Active,LOS OSOS,CA,U,U,U,U,U,Y,U,U,U,4,2,52,57,17,20,65,38,47,32,16,26,35,86,78,95,70,86,51,35
Active,BOURBONNAIS,IL,U,U,U,U,U,Y,U,Y,U,2,3,52,28,21,10,49,2,16,14,1,11,99,79,42,59,11,32,12,18
Expired/Cancelled,PINELLAS PARK,FL,U,Y,U,U,U,Y,U,Y,Y,3,4,52,10,10,19,56,39,47,27,10,26,99,74,81,74,10,44,49,34
Expired/Cancelled,STOW,OH,U,U,U,U,U,Y,U,Y,U,3,1,52,10,20,16,46,38,29,26,17,32,99,45,28,52,29,44,53,34
Expired/Cancelled,SARASOTA,FL,U,U,U,U,U,U,U,Y,U,4,2,52,39,21,26,59,35,3,20,12,15,26,72,38,67,22,60,27,28
Expired/Cancelled,ALLSTON,MA,U,U,U,Y,U,Y,U,Y,Y,3,3,52,36,52,48,31,41,70,31,11,6,68,96,96,91,58,92,1,1
Expired/Cancelled,SAN MARCOS,TX,U,Y,U,U,U,U,U,U,U,1,3,52,56,65,85,57,41,46,40,23,44,99,89,83,78,78,89,19,23
Expired/Cancelled,WALL TOWNSHIP,NJ,U,Y,U,Y,U,Y,U,Y,U,3,3,52,13,20,21,31,25,27,1,12,6,99,59,27,58,12,40,17,12
Expired/Cancelled,ASHBURN,VA,U,U,U,U,Y,Y,U,Y,Y,3,3,52,95,99,94,38,86,42,60,69,65,77,84,76,62,97,98,26,29
Expired/Cancelled,SAFETY HARBOR,FL,U,Y,U,U,U,U,U,Y,Y,3,4,52,12,20,14,31,30,29,22,12,11,99,65,36,59,39,35,29,24
Active,WAXAHACHIE,TX,Y,U,U,U,U,Y,U,Y,Y,3,4,52,22,13,12,59,33,25,46,25,30,99,80,60,94,41,42,26,23
Active,LEMOORE,CA,U,Y,U,U,U,Y,U,Y,Y,4,2,52,35,58,23,59,22,42,26,12,14,41,58,45,51,19,22,32,37
Expired/Cancelled,ANCRAMDALE,NY,U,Y,U,U,U,Y,U,Y,Y,4,4,52,27,45,19,40,76,82,67,59,50,48,69,98,85,39,42,64,43
Active,WATSONVILLE,CA,U,U,U,U,U,Y,U,Y,U,4,2,52,22,18,12,56,35,69,47,25,29,99,74,48,87,26,47,44,55
Expired/Cancelled,MINNEAPOLIS,MN,U,U,U,U,U,U,U,Y,U,2,1,52,23,29,28,15,30,49,3,1,3,99,62,95,77,66,53,16,6
Expired/Cancelled,PERRYSBURG,OH,U,U,U,Y,U,Y,U,U,U,3,3,52,68,20,18,66,3,33,5,3,1,40,96,72,97,67,82,2,3
Active,NASHVILLE,TN,U,Y,Y,U,U,Y,Y,Y,Y,4,3,52,30,18,18,46,27,28,15,22,13,99,73,47,88,40,58,13,5
Expired/Cancelled,BLACKSBURG,VA,U,U,U,U,U,Y,U,Y,Y,3,1,52,33,59,47,51,61,43,31,20,46,99,81,85,75,57,88,33,35
Expired/Cancelled,AUSTIN,TX,U,U,U,Y,U,Y,U,U,U,3,3,52,30,1,22,47,34,19,20,20,20,65,71,38,81,48,59,2,5
Active,SUNBURY,OH,,,,,,,,,,2,3,52,27,38,13,47,61,25,62,59,59,99,56,55,78,55,35,42,32
Active,SAN FRANCISCO,CA,U,U,U,U,U,U,U,Y,Y,4,5,52,80,51,27,86,51,13,29,65,58,87,61,9,89,80,93,38,23
Expired/Cancelled,AUSTIN,TX,U,U,U,Y,U,Y,Y,Y,U,3,2,52,30,2,64,53,33,16,13,27,32,99,98,29,86,47,62,13,3
Expired/Cancelled,CORONA,CA,U,Y,U,U,U,Y,U,Y,U,1,4,52,76,25,28,84,31,8,20,16,16,55,95,25,97,65,88,30,23
Expired/Cancelled,HYDE PARK,NY,U,Y,U,Y,U,Y,U,Y,Y,3,4,52,10,10,33,57,35,32,10,15,21,99,83,59,75,38,65,35,20
Active,MARLTON,NJ,U,U,U,Y,U,Y,U,Y,U,4,3,52,2,31,16,68,56,22,39,22,27,22,74,13,77,23,62,51,45
Expired/Cancelled,MONROVIA,CA,U,Y,U,Y,U,Y,U,U,U,4,2,52,36,46,31,35,51,8,45,66,64,99,29,9,43,79,66,41,41
Expired/Cancelled,WEST PALM BEACH,FL,U,Y,U,U,U,Y,U,Y,U,3,3,52,46,61,90,13,69,18,36,56,55,99,74,84,63,25,86,11,4
Active,MATLACHA,FL,U,U,U,U,U,Y,U,U,U,4,3,52,30,24,22,50,58,62,65,44,38,99,84,91,93,52,45,42,38
Active,SOLVANG,CA,U,U,U,Y,U,U,U,Y,Y,4,2,52,79,54,1,97,79,89,93,57,57,34,97,55,99,9,78,81,98
Active,NORWALK,IA,U,U,U,U,U,Y,U,Y,Y,3,3,52,22,18,12,56,35,69,47,25,29,99,74,48,87,26,47,44,55
Active,BERTHOUD,CO,U,U,U,Y,U,Y,U,Y,Y,2,4,52,35,21,28,34,1,19,4,3,19,99,61,51,37,45,32,11,26
Active,FIRCREST,WA,U,U,U,U,U,Y,U,Y,U,4,2,52,75,23,25,88,33,22,30,12,14,28,96,55,97,49,85,30,27
Expired/Cancelled,LUBBOCK,TX,U,Y,U,U,U,Y,U,U,U,4,2,52,32,22,23,47,30,22,24,16,21,42,74,44,74,31,53,25,35
Active,KUTZTOWN,PA,U,U,U,U,U,Y,U,Y,U,3,3,52,32,22,23,47,30,22,24,16,21,42,74,44,74,31,53,25,35
Active,WELCH,MN,Y,Y,U,U,Y,Y,U,U,U,3,1,52,12,20,13,31,30,29,18,12,10,99,67,26,60,39,38,28,23
Active,NEWPORT,MI,Y,Y,Y,Y,Y,Y,U,Y,U,3,2,52,30,41,14,50,67,89,78,27,33,99,95,94,84,20,6,43,82
Expired/Cancelled,LAKE VILLA,IL,U,U,U,U,U,U,U,U,Y,3,3,52,17,8,23,20,25,18,11,10,17,99,80,34,68,15,34,30,36
Active,MILFORD,CT,,,,,,,,,,4,4,52,17,21,18,56,47,61,31,4,13,99,82,98,72,32,34,49,33
Expired/Cancelled,DENVER,CO,U,U,U,U,U,U,U,U,U,4,4,52,33,15,39,35,58,60,62,46,54,99,50,39,95,39,68,40,45
Active,KNOXVILLE,TN,U,Y,U,U,U,Y,U,Y,U,2,3,52,32,25,23,43,31,22,28,16,21,99,59,52,54,11,47,26,36
Active,LABELLE,FL,U,U,U,U,U,Y,U,Y,Y,4,2,52,39,21,25,37,35,1,21,15,22,50,53,27,64,34,60,25,24
Active,STURGEON BAY,WI,U,U,U,U,U,Y,U,U,U,4,1,52,18,26,21,44,28,47,22,13,19,99,84,78,82,34,51,22,27
Active,WESTMINSTER,CA,U,U,U,U,U,Y,U,Y,U,1,2,52,80,55,29,83,31,20,25,31,23,87,82,34,97,81,90,10,3
Expired/Cancelled,MIAMI,FL,U,Y,U,Y,U,Y,U,Y,Y,1,3,52,30,46,46,40,64,19,51,70,79,99,41,25,34,64,36,71,60
Active,GRANITE BAY,CA,U,Y,U,U,U,Y,U,Y,Y,3,3,52,23,15,16,47,24,22,11,10,4,99,93,33,86,36,43,25,23
Expired/Cancelled,ASHEVILLE,NC,U,U,U,U,U,Y,U,Y,U,2,4,52,25,24,22,44,36,11,26,24,35,99,41,22,46,40,50,36,37
Active,WILMINGTON,DE,U,Y,U,U,U,Y,Y,Y,U,3,3,52,15,20,21,36,31,27,5,13,8,33,75,27,77,38,60,17,13
Expired/Cancelled,BEND,OR,U,U,U,U,U,Y,Y,Y,Y,2,4,52,32,36,38,15,67,48,65,57,55,99,6,76,82,54,65,42,46
Expired/Cancelled,KATY,TX,U,Y,U,U,U,Y,U,U,U,2,3,52,35,27,38,34,1,23,3,51,32,99,30,23,41,52,45,24,10
Active,KELLER,TX,U,Y,U,U,U,Y,U,Y,Y,3,4,52,27,7,30,25,24,37,3,12,3,99,84,59,82,53,51,5,2
Active,MURRAY,UT,U,Y,U,U,U,Y,U,Y,U,2,4,52,14,20,20,56,38,20,14,10,27,99,79,26,74,22,58,52,54
Expired/Cancelled,MILLSBORO,DE,U,Y,U,U,U,Y,U,Y,Y,3,3,52,7,31,47,33,64,32,63,50,50,99,70,65,73,10,31,58,35
Active,MIAMI,FL,U,Y,U,U,U,Y,U,U,U,2,5,52,50,55,49,41,38,23,46,62,70,99,25,49,54,83,74,43,32
Active,MIDLOTHIAN,VA,U,Y,U,U,U,Y,U,Y,U,3,3,52,21,12,26,31,49,21,31,22,35,99,21,29,75,8,54,49,49
Active,DAYTON,OH,U,U,U,U,U,Y,U,Y,U,4,2,52,26,15,16,54,24,22,14,9,5,22,88,36,88,27,51,26,23
Expired/Cancelled,MOUNTAIN HOUSE,CA,U,U,U,U,U,U,U,U,U,2,4,52,33,55,29,17,21,35,6,17,10,99,22,63,35,62,55,1,1
Expired/Cancelled,INDIANAPOLIS,IN,U,U,U,U,Y,Y,U,U,U,4,1,52,37,24,23,40,31,17,22,20,22,99,32,50,40,36,49,23,26
Expired/Cancelled,GRAND JUNCTION,CO,U,U,U,Y,U,Y,U,Y,Y,4,4,52,56,46,39,52,65,47,64,62,67,59,68,74,82,62,72,41,40
Expired/Cancelled,OXFORD,MI,U,Y,U,U,U,Y,U,Y,U,3,3,52,31,21,12,62,35,59,24,16,25,99,80,87,54,35,25,29,41
Active,ORLANDO,FL,U,Y,U,U,U,Y,U,Y,U,2,4,52,42,22,42,34,19,57,48,24,33,99,41,71,81,74,65,2,9
Expired/Cancelled,SACRAMENTO,CA,U,U,U,U,U,U,U,U,U,2,4,52,62,58,40,59,67,19,51,63,75,99,18,47,19,25,66,26,71
Expired/Cancelled,WOODSTOCK,NY,,,,,,,,,,2,4,52,30,27,17,35,48,58,67,53,50,99,66,62,87,54,52,40,52
Expired/Cancelled,MODESTO,CA,U,U,U,U,U,Y,U,U,U,3,4,52,23,14,16,47,25,22,14,10,5,99,88,39,86,13,42,25,23
Expired/Cancelled,FREMONT,CA,U,U,U,U,U,U,U,U,U,1,1,52,36,57,26,18,15,18,19,25,18,99,34,67,39,74,15,2,3
Active,TUCKER,GA,,,,,,,,,,2,3,52,57,56,57,36,75,40,62,68,63,99,5,69,68,76,80,23,16
Expired/Cancelled,GREENFIELD,IN,U,U,U,Y,U,Y,U,Y,U,3,3,52,31,16,49,47,24,22,25,21,17,99,97,33,86,33,45,24,23
Expired/Cancelled,HUMBLE,TX,U,Y,U,U,Y,Y,U,Y,U,2,3,52,26,12,25,55,40,17,33,21,30,99,21,25,34,39,9,51,41
Expired/Cancelled,BONNE TERRE,MO,U,U,U,Y,U,Y,U,Y,Y,4,2,52,24,16,13,73,74,82,67,48,58,52,37,76,61,23,40,71,52
Expired/Cancelled,PROSPER,TX,U,Y,U,U,U,Y,U,Y,U,2,4,52,36,22,28,8,5,59,40,44,24,99,2,59,24,80,20,4,2
Active,SEVILLE,OH,U,Y,U,U,Y,Y,U,Y,Y,3,3,52,4,11,12,56,53,70,43,20,30,99,65,66,67,17,7,70,71
Active,CHESTERFIELD,MI,U,Y,U,U,Y,Y,Y,Y,Y,4,1,52,30,14,17,56,32,27,1,7,6,99,93,66,86,48,36,14,1
Active,LAKE HAVASU CITY,AZ,U,U,U,U,U,Y,U,U,Y,1,4,52,30,33,19,35,57,58,66,53,50,99,48,64,86,54,45,46,38
Active,NEW BUFFALO,MI,U,U,U,U,U,Y,U,Y,U,3,3,52,22,10,37,47,40,24,20,21,30,99,60,64,62,14,72,38,23
Active,MEDWAY,MA,U,Y,U,U,U,Y,U,U,Y,3,4,52,68,62,44,9,81,40,44,63,67,99,21,47,49,79,77,32,17
Expired/Cancelled,CLEVELAND,OH,U,Y,U,Y,U,Y,U,Y,Y,4,2,52,48,59,53,37,42,41,26,16,12,68,93,83,84,71,87,8,18
Active,LAUREL,MD,U,U,U,U,U,U,U,U,U,2,5,52,37,59,31,55,25,7,54,48,65,99,22,13,14,92,49,70,46
